iter	Passed	Remaining
0	4	400
1	7	351
2	10	349
3	15	367
4	18	360
5	22	356
6	26	354
7	31	358
8	35	356
9	38	349
10	42	346
11	48	352
12	52	349
13	56	347
14	60	343
15	65	343
16	69	337
17	72	331
18	76	324
19	80	323
20	85	323
21	89	317
22	93	311
23	98	310
24	101	305
25	105	299
26	108	293
27	113	292
28	117	287
29	120	282
30	124	276
31	129	274
32	133	270
33	139	270
34	144	269
35	148	264
36	152	260
37	156	254
38	161	252
39	165	247
40	168	242
41	172	238
42	177	234
43	180	230
44	184	225
45	187	220
46	193	217
47	196	213
48	200	208
49	203	203
50	208	200
51	212	195
52	215	191
53	218	186
54	223	182
55	227	178
56	230	173
57	233	169
58	237	165
59	241	161
60	245	156
61	248	152
62	252	148
63	256	144
64	259	139
65	263	135
66	266	131
67	270	127
68	274	123
69	277	119
70	280	114
71	284	110
72	288	106
73	291	102
74	295	98
75	298	94
76	302	90
77	305	86
78	308	82
79	312	78
80	315	73
81	318	69
82	322	65
83	325	61
84	328	57
85	332	54
86	335	50
87	338	46
88	342	42
89	345	38
90	349	34
91	352	30
92	356	26
93	359	22
94	362	19
95	366	15
96	369	11
97	372	7
98	375	3
99	379	0
